rating,comment
4,58194 1891 9907 43217 13850 62799 11472 69999 38942 25079 57936 1891 15332 69999 15870 58439 69999 7728 1713 51567 1713 16995 58817 27229 3465 69999 7728 3643 69999 26320 69999 9898 69999 1713 69999 3465 69999 1713 69999 7728 26320 69999 9898 3465 16089 1891 69857 23339 57974 5173 69999
5,29 551 56 1589
4,526 41291 48953 21354 48953
4,174 295 15815 25 3022 14788 37165 2680 65 656 1647 6366 7103 509 364 2423 7363 11887 1392 4067 14057 364 14057 10229 364 49621 2390 368 14 709 15768 158 32215 986 15107 19 63 139 60 36976 20397 413 277 1544
3,33843 22754 21960
3,1319 63 2451 192 175
5,970 1451 197 922 7564 820 146 2413 14835 1397 197 1035 887 4704
4,820 6 522
4,29 4 24030 274 375 10 4426 1319 63 15 25 3842 1090 212 115 69 28 42386 1317 3828 18004 11737 18004 11687 2193 40595 27136 11687
4,13218 298 881 41 6 91 96 8 145 508
4,1045 820 264 17572 2923 0 558 12433 438 24 0 426 569 570 5
4,820 139 1055 1978 740 18779 242 12 69999 27586 413 1 72 2671 4 500 929 3611 8 2757 136
4,509 13970 58 2 275
4,1319 63 242 242
5,223 444 642 16298 653 9 296 1009 2074 24639 1468 69999 9 1111 5 3350 6789
3,431 1051
4,193 63 1002 37424 7883 71 63 6931 54345 892 7545 63 17327 63 69999 19402 1031 7545 1331 7545 63 37908 9493 4896 903 5227 4043 22 56 473 1510 44442 3318 2098 296 69999 10471 104 277 69999 949 518
5,3043 3475 139 404 8479 8920 249 2182 197 1038 413 5112 42366 296 70 2297 277 4989 69999 59245
5,44 7 1377 720
5,447 18505 33967 46 496 1319 63 2000 1773 134 35830 20676 1754 2304 10646 2168 10278 69999
4,193 948 1324
4,74 118 7916 262 660 8 671 882 50 682 118 40 1605 5 477 1771 12122 15346 12122 15346 42915 25939 42915 25939 26 4623 35609 2789 128 15541 38 10471 3427 4554 25 15371 54 494 10471 15
4,6808 63 15 5 7 1555 146 19540 11
4,6864 139 30819 4529 1319 63 3525 5620 6110 95 489 398 1317 149 1763 177 4945 90 6949 21038 1468 807
4,1207 3043 1320 742 259 94 1693 139 25451 10539 139 243 8097 21426
4,12270 1693 63 605 3945 662 244 20243 227 19 1317 63 38 282
4,820 1059 1059 1795 250
5,820 2800
1,48358 172 1195 59 89 3 2 6242 203 3012 128
5,30611 13 1894 5133 241
3,5 13 69999
3,139 1319 63 621 1319 63 8482
3,180 8 229 1317 10783 114 855 340
3,1045 12156 1894
3,546 1853 59083 17 234
2,551 139 1335 9679 99 1320 5 552 2808 1295 2551 47 5817 16989 84 1256 6363 16494
4,30 13 568
4,329 500 3942 1704 1864 115 4881 288 1090 17679 90 3182
3,1319 63 19 12209 44145 3987 642 947 131 6936 2077 19013
5,553 1073 413 57 242
5,8118 20206 5979 56 10 1612 91 739 81 173 4656 65 63 556 268 10 139 38033 9610 6250 4889 1320 2277 9 136
4,12209 2095 310 7883 10232 1468
3,29 91 4 56 43 5 1403 1458 450 6 691 1927 3 29 7883 2095 8 3232 41393 3165 69999 2095 1317 4 625 33 6 7748 5508 43 3914
5,1319 63 820 6808 63 72 1919 1746 4 964 388 37 2477 23929 634 2290 69999 54162 634 21934 71 768 522
5,496 1492 7866 187 978 15168 8520 15168 242
3,9424 5298 20110
